Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\Atrium.hdr,6,YCbC,1737360,0.004916,0.000024,46.168040,1.350608,
pictures\Atrium.hdr,8,YCbC,2316480,0.001229,0.000002,58.211385,0.003519,
pictures\Atrium.hdr,10,YCbC,2895600,0.000308,0.000000,70.238004,0.001286,
pictures\Atrium.hdr,12,YCbC,3474720,0.000078,0.000000,82.114976,0.001642,
pictures\Atrium.hdr,4,HCL,1158240,0.013058,0.000171,37.682693,18.257050,
pictures\Atrium.hdr,6,HCL,1737360,0.003088,0.000010,50.205231,0.006070,
pictures\Atrium.hdr,8,HCL,2316480,0.000762,0.000001,62.364714,0.000051,
pictures\Atrium.hdr,10,HCL,2895600,0.000188,0.000000,74.534160,0.000008,
pictures\Atrium.hdr,12,HCL,3474720,0.000047,0.000000,86.486046,0.000002,
pictures\Atrium.hdr,4,Lab,1158240,0.022360,0.000500,33.010552,20.143709,
pictures\Atrium.hdr,6,Lab,1737360,0.004954,0.000025,46.101597,1.771842,
pictures\Atrium.hdr,8,Lab,2316480,0.001209,0.000001,58.350894,0.190843,
pictures\Atrium.hdr,10,Lab,2895600,0.000301,0.000000,70.436236,0.172886,
pictures\Atrium.hdr,12,Lab,3474720,0.000076,0.000000,82.419884,0.158041,
pictures\Atrium.hdr,4,Luv,1158240,0.020746,0.000430,33.661130,55.549584,
pictures\Atrium.hdr,6,Luv,1737360,0.004718,0.000022,46.525537,2.888138,
pictures\Atrium.hdr,8,Luv,2316480,0.001162,0.000001,58.694823,0.224915,
pictures\Atrium.hdr,10,Luv,2895600,0.000298,0.000000,70.512590,0.023643,
pictures\Atrium.hdr,12,Luv,3474720,0.000072,0.000000,82.801542,0.054418,
pictures\Atrium.hdr,4,RGB,1158240,0.018843,0.000355,34.497054,31.938623,
pictures\Atrium.hdr,6,RGB,1737360,0.004557,0.000021,46.826808,6.969876,
pictures\Atrium.hdr,8,RGB,2316480,0.001116,0.000001,59.047946,0.012919,
pictures\Atrium.hdr,10,RGB,2895600,0.000264,0.000000,71.573054,0.001833,
pictures\Atrium.hdr,12,RGB,3474720,0.000042,0.000000,87.507818,0.000645,
pictures\Atrium.hdr,4,sRGB,1158240,0.011470,0.000132,38.809097,1.948406,
pictures\Atrium.hdr,6,sRGB,1737360,0.002727,0.000007,51.285575,0.004264,
pictures\Atrium.hdr,8,sRGB,2316480,0.000685,0.000000,63.291209,0.000466,
pictures\Atrium.hdr,10,sRGB,2895600,0.000174,0.000000,75.203216,0.000184,
pictures\Atrium.hdr,12,sRGB,3474720,0.000044,0.000000,87.143630,0.000004,
pictures\Atrium.hdr,4,XYZ,1158240,0.031554,0.000996,30.019017,36.121796,
pictures\Atrium.hdr,6,XYZ,1737360,0.012539,0.000157,38.034997,8.742765,
pictures\Atrium.hdr,8,XYZ,2316480,0.006094,0.000037,44.302494,0.815827,
pictures\Atrium.hdr,10,XYZ,2895600,0.005459,0.000030,45.257488,0.243339,
pictures\Atrium.hdr,12,XYZ,3474720,0.005417,0.000029,45.324377,0.216666,
pictures\Atrium.hdr,4,YCC,1158240,0.035536,0.001263,28.986727,15.129306,
pictures\Atrium.hdr,6,YCC,1737360,0.029983,0.000899,30.462460,7.980981,
pictures\Atrium.hdr,8,YCC,2316480,0.029550,0.000873,30.588888,7.744705,
pictures\Atrium.hdr,10,YCC,2895600,0.029524,0.000872,30.596469,7.743256,
pictures\Atrium.hdr,12,YCC,3474720,0.029522,0.000872,30.597119,7.738704,
pictures\Atrium.hdr,4,YPbPr,1158240,0.022215,0.000493,33.067137,66.430319,
pictures\Atrium.hdr,6,YPbPr,1737360,0.004916,0.000024,46.168040,1.350608,
pictures\Atrium.hdr,8,YPbPr,2316480,0.001229,0.000002,58.211385,0.003519,
pictures\Atrium.hdr,10,YPbPr,2895600,0.000308,0.000000,70.238004,0.001286,
pictures\Atrium.hdr,12,YPbPr,3474720,0.000078,0.000000,82.114976,0.001642,
pictures\Atrium.hdr,4,YUV,1158240,0.020954,0.000439,33.574464,67.414978,
pictures\Atrium.hdr,6,YUV,1737360,0.004709,0.000022,46.541350,1.920809,
pictures\Atrium.hdr,8,YUV,2316480,0.001171,0.000001,58.628583,0.187160,
pictures\Atrium.hdr,10,YUV,2895600,0.000292,0.000000,70.697619,0.177519,
pictures\Atrium.hdr,12,YUV,3474720,0.000074,0.000000,82.581574,0.170300,
pictures\Belgium.hdr,32,RGB(A),3152976,,,,,
pictures\Belgium.hdr,4,CMYK,1576448,0.015677,0.000246,36.094548,0.204713,
pictures\Belgium.hdr,6,CMYK,2364672,0.003737,0.000014,48.550310,0.000350,
pictures\Belgium.hdr,8,CMYK,3152900,0.000929,0.000001,60.640890,0.001921,
pictures\Belgium.hdr,10,CMYK,3941124,0.000238,0.000000,72.484148,0.000393,
pictures\Belgium.hdr,12,CMYK,4729348,0.000058,0.000000,84.669802,0.000005,
pictures\Belgium.hdr,4,YCbC,1182337,0.030950,0.000958,30.186903,18.628385,
pictures\Belgium.hdr,6,YCbC,1773506,0.008003,0.000064,41.934712,0.932837,
pictures\Belgium.hdr,8,YCbC,2364675,0.001986,0.000004,54.039959,0.107298,
pictures\Belgium.hdr,10,YCbC,2955843,0.000500,0.000000,66.016293,0.092310,
pictures\Belgium.hdr,12,YCbC,3547012,0.000129,0.000000,77.810163,0.115510,
pictures\Belgium.hdr,4,HCL,1182337,0.017873,0.000319,34.956171,2.524532,
pictures\Belgium.hdr,6,HCL,1773506,0.005019,0.000025,45.988032,0.458604,
pictures\Belgium.hdr,8,HCL,2364675,0.001136,0.000001,58.894766,0.000203,
pictures\Belgium.hdr,10,HCL,2955843,0.000254,0.000000,71.904865,0.000038,
pictures\Belgium.hdr,12,HCL,3547012,0.000064,0.000000,83.865548,0.000004,
pictures\Belgium.hdr,4,Lab,1182337,0.028774,0.000828,30.819851,25.346159,
pictures\Belgium.hdr,6,Lab,1773506,0.006830,0.000047,43.311459,11.199928,
pictures\Belgium.hdr,8,Lab,2364675,0.001708,0.000003,55.347944,5.848091,
pictures\Belgium.hdr,10,Lab,2955843,0.000423,0.000000,67.481905,5.088450,
pictures\Belgium.hdr,12,Lab,3547012,0.000106,0.000000,79.505356,4.505807,
pictures\Belgium.hdr,4,Luv,1182337,0.022595,0.000511,32.919798,59.092261,
pictures\Belgium.hdr,6,Luv,1773506,0.006485,0.000042,43.762178,0.840218,
pictures\Belgium.hdr,8,Luv,2364675,0.001553,0.000002,56.175184,5.851894,
pictures\Belgium.hdr,10,Luv,2955843,0.000440,0.000000,67.133305,1.618374,
pictures\Belgium.hdr,12,Luv,3547012,0.000095,0.000000,80.438744,9.506178,
pictures\Belgium.hdr,4,RGB,1182337,0.017378,0.000302,35.200217,9.174244,
pictures\Belgium.hdr,6,RGB,1773506,0.004394,0.000019,47.143273,0.859779,
pictures\Belgium.hdr,8,RGB,2364675,0.001093,0.000001,59.225235,0.031315,
pictures\Belgium.hdr,10,RGB,2955843,0.000246,0.000000,72.179686,0.005626,
pictures\Belgium.hdr,12,RGB,3547012,0.000047,0.000000,86.598308,0.000545,
pictures\Belgium.hdr,4,sRGB,1182337,0.014697,0.000216,36.655534,0.940425,
pictures\Belgium.hdr,6,sRGB,1773506,0.003502,0.000012,49.114797,0.001465,
pictures\Belgium.hdr,8,sRGB,2364675,0.000871,0.000001,61.198657,0.009723,
pictures\Belgium.hdr,10,sRGB,2955843,0.000223,0.000000,73.042042,0.000604,
pictures\Belgium.hdr,12,sRGB,3547012,0.000055,0.000000,85.191400,0.000006,
pictures\Belgium.hdr,4,XYZ,1182337,0.033852,0.001146,29.408276,6.634779,
pictures\Belgium.hdr,6,XYZ,1773506,0.018226,0.000332,34.785996,1.094923,
pictures\Belgium.hdr,8,XYZ,2364675,0.015746,0.000248,36.056832,0.591014,
pictures\Belgium.hdr,10,XYZ,2955843,0.015523,0.000241,36.180690,0.620110,
pictures\Belgium.hdr,12,XYZ,3547012,0.015511,0.000241,36.187405,0.619387,
pictures\Belgium.hdr,4,YCC,1182337,0.056457,0.003187,24.965667,27.623248,
pictures\Belgium.hdr,6,YCC,1773506,0.048937,0.002395,26.207201,18.414477,
pictures\Belgium.hdr,8,YCC,2364675,0.048596,0.002362,26.268061,11.867910,
pictures\Belgium.hdr,10,YCC,2955843,0.048573,0.002359,26.272102,11.922157,
pictures\Belgium.hdr,12,YCC,3547012,0.048573,0.002359,26.272101,11.925400,
pictures\Belgium.hdr,4,YPbPr,1182337,0.030950,0.000958,30.186903,18.628385,
pictures\Belgium.hdr,6,YPbPr,1773506,0.008003,0.000064,41.934712,0.932837,
pictures\Belgium.hdr,8,YPbPr,2364675,0.001986,0.000004,54.039959,0.107298,
pictures\Belgium.hdr,10,YPbPr,2955843,0.000500,0.000000,66.016293,0.092310,
pictures\Belgium.hdr,12,YPbPr,3547012,0.000129,0.000000,77.810163,0.115510,
pictures\Belgium.hdr,4,YUV,1182337,0.025826,0.000667,31.758989,25.627773,
pictures\Belgium.hdr,6,YUV,1773506,0.006634,0.000044,43.564801,14.001274,
pictures\Belgium.hdr,8,YUV,2364675,0.001647,0.000003,55.665491,6.317537,
pictures\Belgium.hdr,10,YUV,2955843,0.000416,0.000000,67.621714,5.387306,
pictures\Belgium.hdr,12,YUV,3547012,0.000107,0.000000,79.452357,4.749789,
pictures\BigFog.hdr,32,RGB(A),3244396,,,,,
pictures\BigFog.hdr,4,CMYK,1622160,0.012405,0.000154,38.128337,0.265581,
pictures\BigFog.hdr,6,CMYK,2433240,0.002991,0.000009,50.484488,0.000704,
pictures\BigFog.hdr,8,CMYK,3244320,0.000734,0.000001,62.689395,0.000004,
pictures\BigFog.hdr,10,CMYK,4055400,0.000189,0.000000,74.475481,0.000003,
pictures\BigFog.hdr,12,CMYK,4866480,0.000047,0.000000,86.473202,0.000012,
pictures\BigFog.hdr,4,YCbC,1216620,0.017977,0.000323,34.905751,47.420761,
pictures\BigFog.hdr,6,YCbC,1824930,0.005129,0.000026,45.799321,0.062382,
pictures\BigFog.hdr,8,YCbC,2433240,0.001257,0.000002,58.011671,0.025193,
pictures\BigFog.hdr,10,YCbC,3041550,0.000315,0.000000,70.047072,0.036020,
pictures\BigFog.hdr,12,YCbC,3649860,0.000082,0.000000,81.677247,0.036651,
pictures\BigFog.hdr,4,HCL,1216620,0.014105,0.000199,37.012562,8.944785,
pictures\BigFog.hdr,6,HCL,1824930,0.003337,0.000011,49.531847,0.000380,
pictures\BigFog.hdr,8,HCL,2433240,0.000826,0.000001,61.662033,0.000157,
pictures\BigFog.hdr,10,HCL,3041550,0.000205,0.000000,73.771552,0.000008,
pictures\BigFog.hdr,12,HCL,3649860,0.000052,0.000000,85.647804,0.000009,
pictures\BigFog.hdr,4,Lab,1216620,0.024757,0.000613,32.126033,52.111775,
pictures\BigFog.hdr,6,Lab,1824930,0.005165,0.000027,45.739416,6.324523,
pictures\BigFog.hdr,8,Lab,2433240,0.001286,0.000002,57.813892,1.601569,
pictures\BigFog.hdr,10,Lab,3041550,0.000320,0.000000,69.891194,1.517541,
pictures\BigFog.hdr,12,Lab,3649860,0.000081,0.000000,81.861528,1.932424,
pictures\BigFog.hdr,4,Luv,1216620,0.016407,0.000269,35.699331,9.223611,
pictures\BigFog.hdr,6,Luv,1824930,0.004982,0.000025,46.052523,5.949408,
pictures\BigFog.hdr,8,Luv,2433240,0.001217,0.000001,58.293557,1.399105,
pictures\BigFog.hdr,10,Luv,3041550,0.000311,0.000000,70.153524,0.263832,
pictures\BigFog.hdr,12,Luv,3649860,0.000077,0.000000,82.322265,0.477918,
pictures\BigFog.hdr,4,RGB,1216620,0.019405,0.000377,34.241737,36.921583,
pictures\BigFog.hdr,6,RGB,1824930,0.004636,0.000021,46.678046,9.116278,
pictures\BigFog.hdr,8,RGB,2433240,0.001129,0.000001,58.943470,0.297057,
pictures\BigFog.hdr,10,RGB,3041550,0.000271,0.000000,71.328420,0.000634,
pictures\BigFog.hdr,12,RGB,3649860,0.000054,0.000000,85.361816,0.000353,
pictures\BigFog.hdr,4,sRGB,1216620,0.012048,0.000145,38.381420,9.628033,
pictures\BigFog.hdr,6,sRGB,1824930,0.002875,0.000008,50.826502,0.023494,
pictures\BigFog.hdr,8,sRGB,2433240,0.000717,0.000001,62.894129,0.000579,
pictures\BigFog.hdr,10,sRGB,3041550,0.000182,0.000000,74.814708,0.000140,
pictures\BigFog.hdr,12,sRGB,3649860,0.000046,0.000000,86.750996,0.000003,
pictures\BigFog.hdr,4,XYZ,1216620,0.033257,0.001106,29.562418,35.475444,
pictures\BigFog.hdr,6,XYZ,1824930,0.010978,0.000121,39.189905,6.990554,
pictures\BigFog.hdr,8,XYZ,2433240,0.005257,0.000028,45.585729,3.673169,
pictures\BigFog.hdr,10,XYZ,3041550,0.004560,0.000021,46.820573,0.085981,
pictures\BigFog.hdr,12,XYZ,3649860,0.004509,0.000020,46.917511,0.054699,
pictures\BigFog.hdr,4,YCC,1216620,0.047400,0.002247,26.484390,6.065932,
pictures\BigFog.hdr,6,YCC,1824930,0.039143,0.001532,28.146853,11.806608,
pictures\BigFog.hdr,8,YCC,2433240,0.038805,0.001506,28.222238,9.125552,
pictures\BigFog.hdr,10,YCC,3041550,0.038781,0.001504,28.227573,9.118773,
pictures\BigFog.hdr,12,YCC,3649860,0.038781,0.001504,28.227601,9.115541,
pictures\BigFog.hdr,4,YPbPr,1216620,0.017977,0.000323,34.905751,47.420761,
pictures\BigFog.hdr,6,YPbPr,1824930,0.005129,0.000026,45.799321,0.062382,
pictures\BigFog.hdr,8,YPbPr,2433240,0.001257,0.000002,58.011671,0.025193,
pictures\BigFog.hdr,10,YPbPr,3041550,0.000315,0.000000,70.047072,0.036020,
pictures\BigFog.hdr,12,YPbPr,3649860,0.000082,0.000000,81.677247,0.036651,
pictures\BigFog.hdr,4,YUV,1216620,0.016130,0.000260,35.847135,59.667104,
pictures\BigFog.hdr,6,YUV,1824930,0.004780,0.000023,46.411467,1.092646,
pictures\BigFog.hdr,8,YUV,2433240,0.001196,0.000001,58.443469,1.671611,
pictures\BigFog.hdr,10,YUV,3041550,0.000299,0.000000,70.490365,1.476632,
pictures\BigFog.hdr,12,YUV,3649860,0.000079,0.000000,82.032661,1.600086,
pictures\Forest.hdr,32,RGB(A),5591117,,,,,
pictures\Forest.hdr,4,CMYK,2795520,0.024647,0.000607,32.164766,0.002998,
pictures\Forest.hdr,6,CMYK,4193280,0.005847,0.000034,44.661475,0.000037,
pictures\Forest.hdr,8,CMYK,5591040,0.001457,0.000002,56.733319,0.000006,
pictures\Forest.hdr,10,CMYK,6988800,0.000375,0.000000,68.509203,0.000001,
pictures\Forest.hdr,12,CMYK,8386560,0.000092,0.000000,80.769271,0.000000,
pictures\Forest.hdr,4,YCbC,2096640,0.062589,0.003917,24.069997,15.509973,
pictures\Forest.hdr,6,YCbC,3144960,0.015230,0.000232,36.346153,3.177680,
pictures\Forest.hdr,8,YCbC,4193280,0.003793,0.000014,48.419672,8.739327,
pictures\Forest.hdr,10,YCbC,5241600,0.000962,0.000001,60.335295,11.718235,
pictures\Forest.hdr,12,YCbC,6289920,0.000248,0.000000,72.108132,4.049782,
pictures\Forest.hdr,4,HCL,2096640,0.025740,0.000663,31.787755,0.007185,
pictures\Forest.hdr,6,HCL,3144960,0.006261,0.000039,44.066648,0.000400,
pictures\Forest.hdr,8,HCL,4193280,0.001555,0.000002,56.167286,0.000047,
pictures\Forest.hdr,10,HCL,5241600,0.000386,0.000000,68.259578,0.000002,
pictures\Forest.hdr,12,HCL,6289920,0.000097,0.000000,80.221268,0.000000,
pictures\Forest.hdr,4,Lab,2096640,0.046403,0.002153,26.669159,20.565001,
pictures\Forest.hdr,6,Lab,3144960,0.011256,0.000127,38.972498,16.393891,
pictures\Forest.hdr,8,Lab,4193280,0.002792,0.000008,51.080170,15.508737,
pictures\Forest.hdr,10,Lab,5241600,0.000694,0.000000,63.174999,15.275374,
pictures\Forest.hdr,12,Lab,6289920,0.000173,0.000000,75.243823,15.103653,
pictures\Forest.hdr,4,Luv,2096640,0.039934,0.001595,27.973103,18.998992,
pictures\Forest.hdr,6,Luv,3144960,0.011191,0.000125,39.022373,5.204623,
pictures\Forest.hdr,8,Luv,4193280,0.002547,0.000006,51.880354,15.529540,
pictures\Forest.hdr,10,Luv,5241600,0.000799,0.000001,61.950310,15.004757,
pictures\Forest.hdr,12,Luv,6289920,0.000150,0.000000,76.480365,17.836185,
pictures\Forest.hdr,4,RGB,2096640,0.014037,0.000197,37.054327,0.000673,
pictures\Forest.hdr,6,RGB,3144960,0.003340,0.000011,49.526062,0.000074,
pictures\Forest.hdr,8,RGB,4193280,0.000949,0.000001,60.455049,0.000165,
pictures\Forest.hdr,10,RGB,5241600,0.000252,0.000000,71.963635,0.000020,
pictures\Forest.hdr,12,RGB,6289920,0.000060,0.000000,84.443069,0.000001,
pictures\Forest.hdr,4,sRGB,2096640,0.021842,0.000477,33.214135,0.001962,
pictures\Forest.hdr,6,sRGB,3144960,0.005206,0.000027,45.669990,0.000162,
pictures\Forest.hdr,8,sRGB,4193280,0.001300,0.000002,57.723128,0.000033,
pictures\Forest.hdr,10,sRGB,5241600,0.000335,0.000000,69.498439,0.000014,
pictures\Forest.hdr,12,sRGB,6289920,0.000082,0.000000,81.760040,0.000000,
pictures\Forest.hdr,4,XYZ,2096640,0.051733,0.002676,25.724721,15.178493,
pictures\Forest.hdr,6,XYZ,3144960,0.037648,0.001417,28.485190,16.409992,
pictures\Forest.hdr,8,XYZ,4193280,0.036786,0.001353,28.686353,22.317236,
pictures\Forest.hdr,10,XYZ,5241600,0.036718,0.001348,28.702340,21.362495,
pictures\Forest.hdr,12,XYZ,6289920,0.036719,0.001348,28.702213,21.828440,
pictures\Forest.hdr,4,YCC,2096640,0.089223,0.007961,20.990450,17.934160,
pictures\Forest.hdr,6,YCC,3144960,0.081652,0.006667,21.760636,24.917120,
pictures\Forest.hdr,8,YCC,4193280,0.081274,0.006605,21.800991,9.518578,
pictures\Forest.hdr,10,YCC,5241600,0.081244,0.006601,21.804209,9.559780,
pictures\Forest.hdr,12,YCC,6289920,0.081242,0.006600,21.804340,9.569034,
pictures\Forest.hdr,4,YPbPr,2096640,0.062589,0.003917,24.069997,15.509973,
pictures\Forest.hdr,6,YPbPr,3144960,0.015230,0.000232,36.346153,3.177680,
pictures\Forest.hdr,8,YPbPr,4193280,0.003793,0.000014,48.419672,8.739327,
pictures\Forest.hdr,10,YPbPr,5241600,0.000962,0.000001,60.335295,11.718235,
pictures\Forest.hdr,12,YPbPr,6289920,0.000248,0.000000,72.108132,4.049782,
pictures\Forest.hdr,4,YUV,2096640,0.046425,0.002155,26.665016,23.903807,
pictures\Forest.hdr,6,YUV,3144960,0.011242,0.000126,38.982929,16.791927,
pictures\Forest.hdr,8,YUV,4193280,0.002784,0.000008,51.107307,15.647104,
pictures\Forest.hdr,10,YUV,5241600,0.000705,0.000000,63.037107,15.385718,
pictures\Forest.hdr,12,YUV,6289920,0.000187,0.000000,74.563521,15.178685,
